Reaction;iAZ900;iFF708;iLL672;iMM904;iND750;iTO977;Yeast1;Yeast6;Yeast7
imrxn_1823;1;0;0;0;0;0;0;0;0
imrxn_1824;1;0;0;0;0;0;0;0;0
imrxn_1825;1;0;0;0;0;0;0;0;0
imrxn_1827;1;0;0;0;0;0;0;0;0
imrxn_1828;1;0;0;0;0;0;0;0;0
imrxn_1831;1;0;0;0;0;0;0;0;0
imrxn_1833;1;0;0;0;0;0;0;0;0
imrxn_1836;1;0;0;0;0;0;0;0;0
imrxn_1839;1;0;0;0;0;0;0;0;0
imrxn_1841;1;0;0;0;0;0;0;0;0
imrxn_1843;1;0;0;0;0;0;0;0;0
imrxn_1845;1;0;0;0;0;0;0;0;0
imrxn_1849;1;0;0;0;0;0;0;0;0
imrxn_1850;1;0;0;0;0;0;0;0;0
imrxn_1851;1;0;0;0;0;0;0;0;0
imrxn_1852;1;0;0;0;0;0;0;0;0
imrxn_1853;1;0;0;0;0;0;0;0;0
imrxn_1855;1;0;0;0;0;0;0;0;0
imrxn_1857;1;0;0;0;0;0;0;0;0
imrxn_1858;1;0;0;0;0;0;0;0;0
imrxn_1859;1;0;0;0;0;0;0;0;0
imrxn_1862;1;0;0;0;0;0;0;0;0
imrxn_1865;1;0;0;0;0;0;0;0;0
imrxn_1866;1;0;0;0;0;0;0;0;0
imrxn_1868;1;0;0;0;0;0;0;0;0
imrxn_1870;1;0;0;0;0;0;0;0;0
imrxn_1873;1;0;0;0;0;0;0;0;0
imrxn_1874;1;0;0;0;0;0;0;0;0
imrxn_1877;1;0;0;0;0;0;0;0;0
imrxn_1878;1;0;0;0;0;0;0;0;0
imrxn_1880;1;0;0;0;0;0;0;0;0
imrxn_1881;1;0;0;0;0;0;0;0;0
imrxn_1882;1;0;0;0;0;0;0;0;0
imrxn_1887;1;0;0;0;0;0;0;0;0
imrxn_1890;1;0;0;0;0;0;0;0;0
imrxn_1891;1;0;0;0;0;0;0;0;0
imrxn_1892;1;0;0;0;0;0;0;0;0
imrxn_1893;1;0;0;0;0;0;0;0;0
imrxn_1894;1;0;0;0;0;0;0;0;0
imrxn_1895;1;0;0;0;0;0;0;0;0
imrxn_1896;1;0;0;0;0;0;0;0;0
imrxn_1897;1;0;0;0;0;0;0;0;0
imrxn_1904;1;0;0;0;0;0;0;0;0
imrxn_1906;1;0;0;0;0;0;0;0;0
imrxn_1909;1;0;0;0;0;0;0;0;0
imrxn_1912;1;0;0;0;0;0;0;0;0
imrxn_1916;1;0;0;0;0;0;0;0;0
imrxn_1918;1;0;0;0;0;0;0;0;0
imrxn_1919;1;0;0;0;0;0;0;0;0
imrxn_1921;1;0;0;0;0;0;0;0;0
imrxn_1922;1;0;0;0;0;0;0;0;0
imrxn_1923;1;0;0;0;0;0;0;0;0
imrxn_1924;1;0;0;0;0;0;0;0;0
imrxn_1926;1;0;0;0;0;0;0;0;0
imrxn_1928;1;0;0;0;0;0;0;0;0
imrxn_1929;1;0;0;0;0;0;0;0;0
imrxn_1931;1;0;0;1;1;0;1;1;1
imrxn_1932;0;0;0;1;1;1;1;1;1
imrxn_1933;0;1;1;1;1;1;1;1;1
imrxn_1934;1;0;0;1;1;0;1;0;0
imrxn_1935;1;0;0;1;1;0;0;0;0
imrxn_1936;1;0;0;0;0;0;1;1;1
