iAZ900;iFF708;iIN800;iLL672;iMM904;iTO977;iND750;Yeast 1;Yeast 6;Yeast 7
ispi_900;ispi_1553;ispi_1431;ispi_1175;ispi_1036;ispi_205;ispi_900;ispi_66;ispi_398;uspi_1060
ispi_1036;ispi_1271;ispi_558;ispi_1269;ispi_541;ispi_642;ispi_1395;ispi_403;ispi_398;ispi_364
ispi_960;ispi_991;ispi_600;ispi_1501;ispi_1036;ispi_1353;ispi_541;uspi_738;ispi_1419;ispi_1553
ispi_900;ispi_297;ispi_1052;ispi_632;ispi_170;ispi_1210;ispi_541;uspi_435;ispi_1419;ispi_240
ispi_1036;ispi_865;ispi_1028;ispi_1023;ispi_900;ispi_897;ispi_900;uspi_700;ispi_244;ispi_1458
ispi_942;ispi_1553;ispi_741;ispi_7;ispi_541;ispi_153;ispi_960;uspi_438;ispi_1352;ispi_1553
ispi_437;ispi_364;ispi_666;ispi_1534;ispi_541;ispi_778;ispi_1036;ispi_1263;ispi_403;ispi_453
ispi_1324;ispi_736;ispi_1022;uspi_1294;ispi_1395;ispi_391;ispi_541;ispi_912;ispi_515;ispi_698
ispi_1036;ispi_20;uspi_819;ispi_4;ispi_122;ispi_1379;ispi_122;ispi_113;ispi_1210;ispi_381
ispi_170;ispi_1467;ispi_982;ispi_1324;ispi_122;ispi_616;ispi_1036;ispi_113;ispi_1000;ispi_134
ispi_143;ispi_24;ispi_259;ispi_1119;ispi_143;ispi_1351;ispi_122;ispi_92;ispi_66;ispi_1292
ispi_122;ispi_418;ispi_327;ispi_1296;ispi_122;ispi_831;ispi_122;ispi_92;ispi_1210;ispi_1241
ispi_541;ispi_219;ispi_823;uspi_1297;ispi_1036;ispi_411;ispi_1036;ispi_151;ispi_1419;ispi_1423
ispi_1395;ispi_1499;ispi_1174;ispi_1196;ispi_1395;ispi_618;ispi_170;ispi_1352;ispi_1419;ispi_349
