iAZ900;iFF708;Integrated ID;iLL672;iMM904;iTO977;iND750;Yeast 1;Yeast 6;Yeast 7
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1012;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1013;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1015;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1017;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1011;ispi_1020;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1012;ispi_1021;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1013;ispi_1022;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1015;ispi_1023;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1017;ispi_1024;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1018;ispi_1024;ispi_1011;ispi_1011;ispi_1012;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1020;ispi_1027;ispi_1011;ispi_1011;ispi_1013;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1021;ispi_1027;ispi_1011;ispi_1011;ispi_1015;ispi_1011;ispi_1011;ispi_1011;ispi_1011
ispi_1011;ispi_1022;ispi_1028;ispi_1011;ispi_1011;ispi_1015;ispi_1011;ispi_1014;ispi_1011;ispi_1011
ispi_1011;ispi_1023;ispi_1029;ispi_1011;ispi_1011;ispi_1017;ispi_1011;ispi_1014;ispi_1011;ispi_1011
ispi_1011;ispi_1028;ispi_1033;ispi_1011;ispi_1011;ispi_1020;ispi_1011;ispi_1015;ispi_1011;ispi_1011
ispi_1011;ispi_1029;ispi_1034;ispi_1011;ispi_1011;ispi_1021;ispi_1011;ispi_1015;ispi_1011;ispi_1011
ispi_1011;ispi_1030;ispi_1034;ispi_1012;ispi_1011;ispi_1022;ispi_1011;ispi_1015;ispi_1011;ispi_1011
ispi_1011;ispi_1033;ispi_1035;ispi_1014;ispi_1011;ispi_1022;ispi_1011;ispi_1017;ispi_1011;ispi_1011
ispi_1011;ispi_1034;ispi_1035;ispi_1015;ispi_1011;ispi_1023;ispi_1011;ispi_1019;ispi_1011;ispi_1011
ispi_1011;ispi_1034;ispi_1037;ispi_1020;ispi_1011;ispi_1024;ispi_1011;ispi_1020;ispi_1011;ispi_1011
ispi_1011;ispi_1035;ispi_1037;ispi_1021;ispi_1011;ispi_1024;ispi_1011;ispi_1021;ispi_1011;ispi_1011
ispi_1011;ispi_1035;ispi_1040;ispi_1022;ispi_1011;ispi_1027;ispi_1011;ispi_1022;ispi_1011;ispi_1011
ispi_1011;ispi_1037;ispi_1040;ispi_1023;ispi_1011;ispi_1027;ispi_1011;ispi_1027;ispi_1011;ispi_1011
ispi_1011;ispi_1037;ispi_1040;ispi_1029;ispi_1011;ispi_1028;ispi_1011;ispi_1027;ispi_1011;ispi_1011
ispi_1011;ispi_1040;ispi_1043;ispi_1030;ispi_1011;ispi_1029;ispi_1011;ispi_1028;ispi_1011;ispi_1011
ispi_1011;ispi_1040;ispi_1044;ispi_1033;ispi_1011;ispi_1033;ispi_1011;ispi_1029;ispi_1011;ispi_1011
