iAZ900;iFF708;iIN800;iLL672;iMM904;iTO977;iND750;Yeast1;Yeast6;Yeast7
ispi_0;ispi_0;ispi_0;ispi_0;ispi_0;ispi_0;ispi_0;ispi_0;ispi_0;ispi_0
ispi_10;ispi_1;ispi_100;ispi_100;ispi_10;ispi_100;ispi_1;ispi_100;ispi_100;ispi_100
ispi_10;ispi_100;ispi_100;ispi_100;ispi_10;ispi_100;ispi_10;ispi_100;ispi_100;ispi_100
ispi_10;ispi_100;ispi_1002;ispi_1000;ispi_10;ispi_1000;ispi_10;ispi_1000;ispi_100;ispi_100
ispi_10;ispi_1000;ispi_1004;ispi_101;ispi_10;ispi_1000;ispi_100;ispi_1000;ispi_1000;ispi_1001
ispi_100;ispi_1000;ispi_1006;ispi_102;ispi_100;ispi_1001;ispi_100;ispi_1001;ispi_1000;ispi_1002
ispi_100;ispi_1006;ispi_1007;ispi_1022;ispi_100;ispi_1002;ispi_100;ispi_1002;ispi_1001;ispi_1003
ispi_100;ispi_101;ispi_1008;ispi_1023;ispi_100;ispi_1004;ispi_1000;ispi_1003;ispi_1002;ispi_1003
ispi_1000;ispi_102;ispi_1009;ispi_1023;ispi_1000;ispi_1006;ispi_1000;ispi_1006;ispi_1003;ispi_1003
ispi_1000;ispi_1021;ispi_101;ispi_1023;ispi_1000;ispi_1007;ispi_1001;ispi_1009;ispi_1003;ispi_101
ispi_1001;ispi_1022;ispi_1010;ispi_1024;ispi_1001;ispi_1008;ispi_1002;ispi_101;ispi_1003;ispi_1011
ispi_1002;ispi_1023;ispi_1015;ispi_1026;ispi_1002;ispi_1009;ispi_1006;ispi_1012;ispi_101;ispi_1013
ispi_1006;ispi_1023;ispi_1016;ispi_1040;ispi_1006;ispi_101;ispi_101;ispi_1012;ispi_1011;ispi_1018
ispi_101;ispi_1023;ispi_1017;ispi_1040;ispi_101;ispi_1010;ispi_1014;ispi_1017;ispi_1013;ispi_1018
ispi_1012;ispi_1024;ispi_1022;ispi_1040;ispi_1012;ispi_1015;ispi_1018;ispi_1018;ispi_1018;ispi_1018
ispi_1012;ispi_1025;ispi_1023;ispi_1040;ispi_1012;ispi_1016;ispi_102;ispi_1018;ispi_1018;ispi_1018
ispi_1014;ispi_1025;ispi_1023;ispi_1043;ispi_1014;ispi_1017;ispi_1022;ispi_1018;ispi_1018;ispi_1019
ispi_1018;ispi_1026;ispi_1023;ispi_1044;ispi_1018;ispi_1018;ispi_1023;ispi_102;ispi_1018;ispi_102
ispi_1018;ispi_104;ispi_1024;ispi_1045;ispi_1018;ispi_1018;ispi_1023;ispi_1020;ispi_1019;ispi_1020
ispi_1018;ispi_1040;ispi_1026;ispi_1045;ispi_1018;ispi_1020;ispi_1023;ispi_1021;ispi_102;ispi_1021
ispi_1018;ispi_1040;ispi_1028;ispi_1045;ispi_1018;ispi_1022;ispi_1023;ispi_1021;ispi_1020;ispi_1021
ispi_102;ispi_1043;ispi_1029;ispi_1048;ispi_102;ispi_1023;ispi_1024;ispi_1022;ispi_1021;ispi_1021
ispi_1021;ispi_1045;ispi_1029;ispi_1048;ispi_1021;ispi_1023;ispi_1026;ispi_1023;ispi_1021;ispi_1021
ispi_1021;ispi_1045;ispi_1032;ispi_1048;ispi_1021;ispi_1023;ispi_1030;ispi_1023;ispi_1021;ispi_1022
ispi_1022;ispi_1048;ispi_1033;ispi_1048;ispi_1022;ispi_1024;ispi_1030;ispi_1023;ispi_1021;ispi_1023
ispi_1023;ispi_1048;ispi_1040;ispi_1052;ispi_1023;ispi_1026;ispi_1036;ispi_1023;ispi_1022;ispi_1023
ispi_1023;ispi_1048;ispi_1040;ispi_1052;ispi_1023;ispi_1028;ispi_1036;ispi_1024;ispi_1023;ispi_1023
ispi_1023;ispi_1052;ispi_1043;ispi_1052;ispi_1023;ispi_1028;ispi_1036;ispi_1026;ispi_1023;ispi_1023
ispi_1023;ispi_1052;ispi_1045;ispi_1053;ispi_1023;ispi_1032;ispi_1036;ispi_1031;ispi_1023;ispi_1023
ispi_1023;ispi_1053;ispi_1045;ispi_1055;ispi_1023;ispi_1033;ispi_1036;ispi_1033;ispi_1023;ispi_1024
ispi_1024;ispi_1055;ispi_1048;ispi_1057;ispi_1024;ispi_1040;ispi_1036;ispi_1036;ispi_1023;ispi_1026
ispi_1026;ispi_1057;ispi_1048;ispi_1068;ispi_1026;ispi_1040;ispi_1036;ispi_1036;ispi_1024;ispi_1027
ispi_1036;ispi_1061;ispi_1048;ispi_1069;ispi_1036;ispi_1041;ispi_1036;ispi_1036;ispi_1026;ispi_1027
ispi_1036;ispi_1066;ispi_1049;ispi_107;ispi_1036;ispi_1043;ispi_1036;ispi_1036;ispi_1027;ispi_1027
ispi_1036;ispi_1067;ispi_1052;ispi_107;ispi_1036;ispi_1045;ispi_104;ispi_1036;ispi_1031;ispi_1027
ispi_1036;ispi_1068;ispi_1052;ispi_1070;ispi_1036;ispi_1045;ispi_1040;ispi_1036;ispi_1034;ispi_1027
ispi_1036;ispi_1068;ispi_1053;ispi_1084;ispi_1036;ispi_1045;ispi_1040;ispi_1036;ispi_1036;ispi_1031
ispi_1036;ispi_1069;ispi_1054;ispi_1087;ispi_1036;ispi_1048;ispi_1040;ispi_1036;ispi_1036;ispi_1034
ispi_1036;ispi_107;ispi_1055;ispi_1087;ispi_1036;ispi_1048;ispi_1040;ispi_104;ispi_1036;ispi_1036
ispi_1036;ispi_107;ispi_1057;ispi_1087;ispi_1036;ispi_1048;ispi_1043;ispi_1040;ispi_1036;ispi_1036
ispi_1036;ispi_1070;ispi_1059;ispi_1087;ispi_1036;ispi_1048;ispi_1045;ispi_1040;ispi_1036;ispi_1036
ispi_104;ispi_1079;ispi_1059;ispi_110;ispi_104;ispi_1049;ispi_1045;ispi_1040;ispi_1036;ispi_1036
ispi_1040;ispi_1080;ispi_1061;ispi_1108;ispi_1040;ispi_1052;ispi_1045;ispi_1041;ispi_1036;ispi_1036
ispi_1040;ispi_1080;ispi_1063;ispi_1109;ispi_1040;ispi_1052;ispi_1045;ispi_1043;ispi_1036;ispi_1036
ispi_1040;ispi_1084;ispi_1066;ispi_1109;ispi_1040;ispi_1052;ispi_1045;ispi_1044;ispi_1036;ispi_1036
