"Yeast1";"Freq"
"1";"ispi_0";1
"2";"ispi_100";3
"3";"ispi_1001";1
"4";"ispi_1002";1
"5";"ispi_1003";3
"6";"ispi_101";1
"7";"ispi_1011";1
"8";"ispi_1013";1
"9";"ispi_1018";4
"10";"ispi_1019";1
"11";"ispi_102";1
"12";"ispi_1020";1
"13";"ispi_1021";4
"14";"ispi_1022";1
"15";"ispi_1023";5
"16";"ispi_1024";1
"17";"ispi_1026";1
"18";"ispi_1027";5
"19";"ispi_1031";1
"20";"ispi_1034";1
"21";"ispi_1036";15
"22";"ispi_1037";2
"23";"ispi_1040";4
"24";"ispi_1041";1
"25";"ispi_1043";1
"26";"ispi_1044";1
"27";"ispi_1045";8
"28";"ispi_1048";12
"29";"ispi_1049";2
"30";"ispi_1052";6
"31";"ispi_1053";2
"32";"ispi_1055";3
"33";"ispi_1056";3
"34";"ispi_1057";1
"35";"ispi_1058";3
"36";"ispi_1059";2
"37";"ispi_106";1
"38";"ispi_1065";1
"39";"ispi_1066";2
"40";"ispi_1068";3
"41";"ispi_107";2
"42";"ispi_1070";1
"43";"ispi_1073";1
"44";"ispi_1074";1
"45";"ispi_1076";1
"46";"ispi_1079";1
"47";"ispi_108";4
"48";"ispi_1082";1
"49";"ispi_1083";1
"50";"ispi_1084";4
"51";"ispi_1085";4
"52";"ispi_1086";1
"53";"ispi_1087";4
"54";"ispi_1088";1
"55";"ispi_1089";1
"56";"ispi_1092";1
"57";"ispi_1093";1
"58";"ispi_1094";1
"59";"ispi_1097";1
"60";"ispi_11";1
"61";"ispi_110";1
"62";"ispi_1100";1
"63";"ispi_1101";1
"64";"ispi_1106";2
"65";"ispi_1107";4
"66";"ispi_1109";9
"67";"ispi_111";2
"68";"ispi_1114";3
"69";"ispi_1119";3
"70";"ispi_112";11
"71";"ispi_1121";3
"72";"ispi_1123";1
"73";"ispi_1124";1
"74";"ispi_1125";4
"75";"ispi_1127";3
"76";"ispi_1128";4
"77";"ispi_113";4
"78";"ispi_1137";3
"79";"ispi_1138";3
"80";"ispi_1145";1
"81";"ispi_1146";5
"82";"ispi_1149";3
"83";"ispi_115";1
"84";"ispi_1151";2
"85";"ispi_1155";1
"86";"ispi_1156";2
"87";"ispi_1157";3
"88";"ispi_116";1
"89";"ispi_1160";6
"90";"ispi_1161";2
"91";"ispi_1162";3
"92";"ispi_1165";1
"93";"ispi_1166";1
"94";"ispi_1175";1
"95";"ispi_118";2
"96";"ispi_1180";1
"97";"ispi_1184";3
"98";"ispi_1189";1
"99";"ispi_119";1
"100";"ispi_1193";1
"101";"ispi_1195";1
"102";"ispi_1196";2
"103";"ispi_1199";1
"104";"ispi_120";1
"105";"ispi_1208";1
"106";"ispi_1209";3
"107";"ispi_121";2
