iAZ900;iFF708;iLL672;iMM904;iTO977;iND750;Yeast 1;Yeast 6;Yeast 7;iIN800
ispi_1302;ispi_1649;ispi_1678;ispi_1714;ispi_1393;ispi_1302;ispi_1767;ispi_1190;ispi_1267;ispi_1539
ispi_1714;ispi_1454;ispi_1079;ispi_1482;ispi_1090;ispi_1113;ispi_1088;ispi_1190;ispi_1743;ispi_1088
ispi_1412;ispi_1664;ispi_1585;ispi_1714;ispi_1506;ispi_1482;ispi_1649;ispi_1720;uspi_929;ispi_1780
ispi_1302;ispi_1429;ispi_1258;ispi_1011;ispi_1137;ispi_1482;ispi_1749;ispi_1720;uspi_930;ispi_1447
ispi_1714;ispi_1290;ispi_1499;ispi_1302;uspi_33;ispi_1302;ispi_1314;ispi_1019;uspi_931;ispi_1801
ispi_1672;ispi_1649;ispi_1461;ispi_1482;ispi_1765;ispi_1412;ispi_1011;ispi_1601;uspi_932;ispi_1260
ispi_1545;ispi_1088;ispi_1424;ispi_1482;ispi_1498;ispi_1714;ispi_1011;ispi_1743;uspi_933;ispi_1433
ispi_1703;ispi_1521;uspi_4;ispi_1113;ispi_1630;ispi_1482;ispi_1801;ispi_1264;ispi_1813;ispi_1406
ispi_1714;ispi_1443;ispi_1397;ispi_1698;ispi_1703;ispi_1698;ispi_1567;ispi_1137;uspi_934;ispi_1709
ispi_1011;ispi_1549;ispi_1703;ispi_1698;ispi_1754;ispi_1714;ispi_1222;ispi_1457;ispi_1463;ispi_1648
ispi_1293;ispi_1517;ispi_1298;ispi_1293;ispi_1172;ispi_1698;ispi_1453;ispi_1267;ispi_1518;ispi_1709
ispi_1698;ispi_1059;ispi_1148;ispi_1698;ispi_1340;ispi_1698;ispi_1837;ispi_1137;ispi_1518;ispi_1640
ispi_1482;ispi_1052;uspi_5;ispi_1714;ispi_1854;ispi_1714;ispi_1855;ispi_1720;ispi_1474;ispi_1266
ispi_1113;ispi_1389;ispi_1500;ispi_1113;ispi_1496;ispi_1011;ispi_1578;ispi_1720;ispi_1474;ispi_1466
ispi_1482;ispi_1321;ispi_1382;ispi_1113;uspi_34;ispi_1714;ispi_1328;ispi_1457;uspi_935;ispi_1649
ispi_1714;ispi_1729;ispi_1309;ispi_1376;ispi_1626;ispi_1293;ispi_1826;ispi_1498;uspi_936;ispi_1384
ispi_1714;ispi_1059;ispi_1071;ispi_1317;ispi_1784;ispi_1113;ispi_1477;ispi_1743;uspi_937;ispi_1314
ispi_1698;ispi_1517;ispi_1382;ispi_1770;ispi_1212;ispi_1113;ispi_1525;ispi_1267;uspi_938;ispi_1478
ispi_1714;ispi_1476;ispi_1474;ispi_1714;ispi_1567;ispi_1317;ispi_1556;ispi_1286;ispi_1541;ispi_1308
ispi_1714;ispi_1798;ispi_1805;ispi_1302;ispi_1788;ispi_1376;ispi_1113;ispi_1468;ispi_1601;ispi_1460
ispi_1302;ispi_1377;ispi_1392;ispi_1714;uspi_35;ispi_1770;ispi_1800;ispi_1286;ispi_1019;ispi_1649
ispi_1113;ispi_1455;ispi_1446;ispi_1011;ispi_1197;ispi_1714;ispi_1714;ispi_1286;ispi_1264;ispi_1033
ispi_1714;ispi_1377;ispi_1432;ispi_1566;ispi_1197;ispi_1765;ispi_1420;ispi_1345;ispi_1474;ispi_1835
ispi_1515;ispi_1186;ispi_1193;ispi_1302;uspi_36;ispi_1302;ispi_1474;ispi_1255;ispi_1278;ispi_1450
ispi_1770;ispi_1011;ispi_1171;ispi_1515;uspi_37;ispi_1278;ispi_1618;ispi_1345;ispi_1278;ispi_1202
ispi_1149;ispi_1632;ispi_1011;ispi_1302;ispi_1125;ispi_1578;ispi_1538;ispi_1084;ispi_1278;ispi_1450
ispi_1684;ispi_1252;ispi_1809;ispi_1113;uspi_38;ispi_1566;ispi_1406;ispi_1472;ispi_1498;ispi_1202
ispi_1327;ispi_1617;ispi_1396;ispi_1578;ispi_1625;ispi_1011;ispi_1100;ispi_1472;ispi_1137;ispi_1609
ispi_1578;ispi_1081;ispi_1422;ispi_1684;ispi_1151;ispi_1113;ispi_1326;ispi_1472;ispi_1137;ispi_1341
ispi_1566;ispi_1785;ispi_1835;ispi_1815;ispi_1665;ispi_1302;ispi_1697;ispi_1518;ispi_1267;ispi_1609
ispi_1376;ispi_1307;ispi_1518;ispi_1482;uspi_39;ispi_1684;ispi_1632;ispi_1813;ispi_1743;ispi_1855
ispi_1317;ispi_1617;ispi_1718;ispi_1606;ispi_1371;ispi_1278;ispi_1470;ispi_1433;ispi_1190;ispi_1648
ispi_1302;ispi_1876;ispi_1473;ispi_1253;ispi_1728;ispi_1495;ispi_1278;ispi_1472;ispi_1190;ispi_1874
ispi_1113;ispi_1432;ispi_1518;ispi_1495;ispi_1380;ispi_1232;ispi_1180;ispi_1463;ispi_1720;ispi_1874
ispi_1842;ispi_1728;ispi_1683;ispi_1842;ispi_1644;ispi_1236;ispi_1432;ispi_1836;uspi_939;ispi_1631
ispi_1495;ispi_1540;ispi_1780;ispi_1236;ispi_1230;ispi_1482;ispi_1798;ispi_1474;ispi_1011;ispi_1631
ispi_1232;ispi_1307;ispi_1519;ispi_1232;ispi_1240;ispi_1515;ispi_1167;ispi_1782;ispi_1064;ispi_1354
ispi_1629;ispi_1463;ispi_1684;ispi_1302;ispi_1575;ispi_1302;ispi_1730;ispi_1474;ispi_1714;ispi_1383
ispi_1011;ispi_1029;ispi_1402;ispi_1545;ispi_1094;ispi_1278;ispi_1504;ispi_1472;uspi_940;ispi_1749
ispi_1576;ispi_1796;ispi_1491;ispi_1714;ispi_1297;ispi_1842;ispi_1731;ispi_1518;uspi_941;ispi_1595
ispi_1515;ispi_1396;ispi_1011;ispi_1412;ispi_1669;ispi_1578;ispi_1503;ispi_1836;uspi_942;ispi_1749
ispi_1302;ispi_1307;ispi_1218;ispi_1578;ispi_1011;ispi_1672;ispi_1873;ispi_1474;uspi_943;ispi_1873
ispi_1815;ispi_1796;ispi_1375;ispi_1011;ispi_1098;ispi_1714;ispi_1699;ispi_1767;ispi_1433;ispi_1695
ispi_1606;ispi_1804;ispi_1293;ispi_1714;ispi_1839;ispi_1545;ispi_1262;ispi_1235;ispi_1447;ispi_1241
ispi_1011;ispi_1429;ispi_1749;ispi_1672;ispi_1134;ispi_1815;ispi_1540;ispi_1541;ispi_1447;ispi_1695
ispi_1578;ispi_1454;ispi_1824;ispi_1770;ispi_1203;ispi_1253;ispi_1029;ispi_1767;ispi_1447;ispi_1710
ispi_1236;ispi_1557;ispi_1269;ispi_1266;ispi_1832;ispi_1606;ispi_1401;ispi_1836;ispi_1011;ispi_1750
ispi_1482;ispi_1028;ispi_1826;ispi_1797;ispi_1692;ispi_1011;ispi_1120;ispi_1278;ispi_1626;ispi_1800
ispi_1205;ispi_1503;ispi_1519;ispi_1266;uspi_40;ispi_1241;ispi_1863;ispi_1278;ispi_1498;ispi_1809
ispi_1253;ispi_1473;ispi_1358;ispi_1828;ispi_1070;ispi_1241;ispi_1449;ispi_1278;ispi_1498;ispi_1820
ispi_1722;ispi_1108;ispi_1192;ispi_1722;ispi_1515;ispi_1633;ispi_1813;ispi_1353;ispi_1241;ispi_1113
ispi_1573;ispi_1125;ispi_1011;ispi_1633;ispi_1669;ispi_1266;ispi_1613;ispi_1765;ispi_1626;ispi_1809
