;iAZ900;iFF708;iLL672;iMM904;iTO977;iND750;Yeast 1;Yeast 6;Yeast 7;iIN800
ispi_1011;1;1;1;1;1;1;1;1;1;1
ispi_1012;1;1;1;1;1;1;0;1;0;1
ispi_1013;1;1;0;1;1;1;0;0;0;1
ispi_1014;1;0;1;1;0;0;1;1;1;0
ispi_1015;1;1;1;1;1;1;1;1;1;1
ispi_1016;0;0;0;0;0;0;0;1;0;0
ispi_1017;1;1;0;1;1;1;1;0;0;1
ispi_1018;0;1;0;0;0;1;0;1;0;0
ispi_1019;1;0;0;1;0;1;1;1;1;0
ispi_1020;1;1;1;1;1;1;1;1;1;1
ispi_1021;1;1;1;1;1;1;1;1;1;1
ispi_1022;1;1;1;1;1;1;1;1;1;1
ispi_1023;0;1;1;0;1;0;0;1;1;1
ispi_1024;0;0;0;0;1;0;0;0;0;1
ispi_1025;0;0;0;0;0;0;0;1;1;0
ispi_1026;0;0;0;0;0;0;0;1;1;0
ispi_1027;1;0;0;1;1;1;1;1;1;1
ispi_1028;1;1;0;1;1;1;1;1;1;1
ispi_1029;1;1;1;1;1;1;1;1;1;1
ispi_1030;1;1;1;1;0;1;1;1;1;0
ispi_1031;0;0;0;0;0;0;1;1;1;0
ispi_1032;0;0;0;0;0;0;1;0;0;0
ispi_1033;1;1;1;1;1;1;1;1;1;1
ispi_1034;1;1;1;1;1;1;1;1;1;1
ispi_1035;1;1;1;1;1;1;1;1;1;1
ispi_1036;1;0;0;1;1;0;1;1;1;0
ispi_1037;1;1;1;1;1;1;1;1;1;1
ispi_1038;0;0;0;1;0;0;1;1;1;0
ispi_1039;0;0;0;1;1;0;1;1;1;0
ispi_1040;1;1;1;1;1;1;1;0;1;1
ispi_1041;1;0;0;1;0;0;1;0;0;0
ispi_1042;1;0;0;1;1;0;1;1;1;0
ispi_1043;1;1;1;1;1;1;1;1;1;1
ispi_1044;0;0;0;0;1;0;0;0;0;1
ispi_1045;1;1;1;1;1;1;1;1;1;1
ispi_1046;0;0;0;0;0;0;1;1;1;0
ispi_1047;0;0;0;0;0;0;0;1;1;0
ispi_1048;1;1;1;1;1;1;1;1;1;1
ispi_1049;1;1;1;1;1;1;1;1;1;1
ispi_1050;1;0;0;1;1;1;1;1;1;1
ispi_1051;1;1;1;1;1;1;1;1;1;1
ispi_1052;1;1;1;1;1;1;1;1;1;1
