"iFF708";"Freq"
"1";"";1145
"2";"ispi_0";1
"3";"ispi_1";1
"4";"ispi_100";2
"5";"ispi_1000";2
"6";"ispi_1006";1
"7";"ispi_101";1
"8";"ispi_102";1
"9";"ispi_1021";1
"10";"ispi_1022";1
"11";"ispi_1023";3
"12";"ispi_1024";1
"13";"ispi_1026";1
"14";"ispi_104";1
"15";"ispi_1040";2
"16";"ispi_1043";1
"17";"ispi_1045";2
"18";"ispi_1048";3
"19";"ispi_1052";2
"20";"ispi_1053";1
"21";"ispi_1055";1
"22";"ispi_1057";1
"23";"ispi_1061";1
"24";"ispi_1066";1
"25";"ispi_1067";1
"26";"ispi_1068";2
"27";"ispi_1069";1
"28";"ispi_107";2
"29";"ispi_1070";1
"30";"ispi_1079";1
"31";"ispi_1080";2
"32";"ispi_1084";2
"33";"ispi_1087";3
"34";"ispi_1088";1
"35";"ispi_1090";2
"36";"ispi_1099";1
"37";"ispi_110";1
"38";"ispi_1109";2
"39";"ispi_111";2
"40";"ispi_1110";1
"41";"ispi_1112";1
"42";"ispi_1115";1
"43";"ispi_1117";1
"44";"ispi_1118";2
"45";"ispi_1119";2
"46";"ispi_112";3
"47";"ispi_1124";1
"48";"ispi_1125";3
"49";"ispi_1127";2
"50";"ispi_1128";3
"51";"ispi_1129";1
"52";"ispi_113";2
"53";"ispi_1138";2
"54";"ispi_1145";2
"55";"ispi_1146";2
"56";"ispi_1147";1
"57";"ispi_1157";2
"58";"ispi_1160";2
"59";"ispi_1161";1
"60";"ispi_117";1
"61";"ispi_1171";1
"62";"ispi_1174";1
"63";"ispi_1175";2
"64";"ispi_1179";1
"65";"ispi_1180";1
"66";"ispi_1181";1
"67";"ispi_119";1
"68";"ispi_1195";1
"69";"ispi_1196";1
"70";"ispi_1198";1
"71";"ispi_1199";1
"72";"ispi_120";1
"73";"ispi_1209";2
"74";"ispi_121";1
"75";"ispi_1214";3
"76";"ispi_1215";1
"77";"ispi_1218";2
"78";"ispi_1229";1
"79";"ispi_123";2
"80";"ispi_1232";1
"81";"ispi_1237";1
"82";"ispi_124";2
"83";"ispi_1241";1
"84";"ispi_1246";1
"85";"ispi_1250";1
"86";"ispi_1253";1
"87";"ispi_126";2
"88";"ispi_1260";1
"89";"ispi_1262";1
"90";"ispi_1263";1
"91";"ispi_1265";2
"92";"ispi_1267";2
"93";"ispi_1269";1
"94";"ispi_1270";1
"95";"ispi_1271";2
"96";"ispi_1273";1
"97";"ispi_1277";2
"98";"ispi_128";2
"99";"ispi_1281";1
"100";"ispi_1288";1
"101";"ispi_1289";3
"102";"ispi_129";1
"103";"ispi_1291";1
"104";"ispi_1292";1
"105";"ispi_1296";1
"106";"ispi_1299";1
"107";"ispi_13";1
"108";"ispi_1303";1
"109";"ispi_1305";1
"110";"ispi_1308";2
"111";"ispi_1310";2
