"iIN800";"Freq"
"1";"";970
"2";"ispi_0";1
"3";"ispi_100";2
"4";"ispi_1001";1
"5";"ispi_1002";1
"6";"ispi_1004";1
"7";"ispi_1005";1
"8";"ispi_1006";1
"9";"ispi_1007";1
"10";"ispi_1008";1
"11";"ispi_1009";1
"12";"ispi_101";1
"13";"ispi_1010";1
"14";"ispi_1015";1
"15";"ispi_1016";1
"16";"ispi_1017";1
"17";"ispi_1022";1
"18";"ispi_1023";3
"19";"ispi_1024";1
"20";"ispi_1026";1
"21";"ispi_1028";1
"22";"ispi_103";3
"23";"ispi_1032";1
"24";"ispi_1033";1
"25";"ispi_1040";2
"26";"ispi_1043";1
"27";"ispi_1045";2
"28";"ispi_1047";1
"29";"ispi_1048";3
"30";"ispi_1049";1
"31";"ispi_1052";2
"32";"ispi_1053";1
"33";"ispi_1054";1
"34";"ispi_1055";1
"35";"ispi_1057";1
"36";"ispi_1059";2
"37";"ispi_1061";1
"38";"ispi_1063";1
"39";"ispi_1066";1
"40";"ispi_1067";1
"41";"ispi_1068";2
"42";"ispi_107";2
"43";"ispi_1070";1
"44";"ispi_1079";1
"45";"ispi_1080";2
"46";"ispi_1081";1
"47";"ispi_1084";2
"48";"ispi_1087";3
"49";"ispi_1090";2
"50";"ispi_11";1
"51";"ispi_110";1
"52";"ispi_1108";1
"53";"ispi_1109";2
"54";"ispi_111";2
"55";"ispi_1112";1
"56";"ispi_1117";1
"57";"ispi_1119";2
"58";"ispi_112";3
"59";"ispi_1124";1
"60";"ispi_1125";3
"61";"ispi_1127";2
"62";"ispi_1128";3
"63";"ispi_1129";1
"64";"ispi_113";2
"65";"ispi_1130";1
"66";"ispi_1132";1
"67";"ispi_1133";1
"68";"ispi_1134";1
"69";"ispi_1135";1
"70";"ispi_1136";1
"71";"ispi_1137";2
"72";"ispi_1138";2
"73";"ispi_1139";1
"74";"ispi_1141";1
"75";"ispi_1142";1
"76";"ispi_1143";1
"77";"ispi_1145";1
"78";"ispi_1146";2
"79";"ispi_115";1
"80";"ispi_1153";1
"81";"ispi_1155";1
"82";"ispi_1157";2
"83";"ispi_1159";1
"84";"ispi_1160";2
"85";"ispi_1161";1
"86";"ispi_1162";2
"87";"ispi_1164";1
"88";"ispi_1168";1
"89";"ispi_1173";1
"90";"ispi_1174";1
"91";"ispi_1176";1
"92";"ispi_1179";1
"93";"ispi_1180";1
"94";"ispi_1181";1
"95";"ispi_119";1
"96";"ispi_1195";1
"97";"ispi_1196";1
"98";"ispi_1199";1
"99";"ispi_120";1
"100";"ispi_1205";1
"101";"ispi_1207";1
"102";"ispi_1209";2
"103";"ispi_121";1
"104";"ispi_1210";1
"105";"ispi_1214";3
"106";"ispi_1215";1
"107";"ispi_1218";2
"108";"ispi_1229";1
"109";"ispi_123";2
"110";"ispi_1237";1
"111";"ispi_124";2
"112";"ispi_1241";1
"113";"ispi_1246";1
"114";"ispi_1250";1
"115";"ispi_1253";1
"116";"ispi_1256";1
"117";"ispi_126";2
"118";"ispi_1260";1
"119";"ispi_1261";1
"120";"ispi_1263";1
"121";"ispi_1265";2
"122";"ispi_1266";2
"123";"ispi_1267";2
"124";"ispi_1268";2
"125";"ispi_1269";1
"126";"ispi_1270";1
"127";"ispi_1271";2
"128";"ispi_1273";1
"129";"ispi_1276";1
"130";"ispi_1277";2
"131";"ispi_1287";2
"132";"ispi_1289";3
"133";"ispi_129";1
"134";"ispi_1291";1
"135";"ispi_1292";1
"136";"ispi_1296";1
"137";"ispi_1299";1
"138";"ispi_13";1
"139";"ispi_130";2
"140";"ispi_1303";1
"141";"ispi_1304";1
"142";"ispi_1305";1
"143";"ispi_1306";1
"144";"ispi_1308";2
"145";"ispi_1309";3
"146";"ispi_1310";2
"147";"ispi_1311";1
"148";"ispi_1312";1
"149";"ispi_1313";1
"150";"ispi_1315";2
"151";"ispi_1318";1
"152";"ispi_1319";2
"153";"ispi_1322";1
"154";"ispi_1323";1
"155";"ispi_1324";2
"156";"ispi_1329";1
"157";"ispi_1330";2
"158";"ispi_1332";1
"159";"ispi_1335";3
"160";"ispi_1336";1
"161";"ispi_1339";1
"162";"ispi_1346";1
"163";"ispi_1349";1
"164";"ispi_1350";2
"165";"ispi_1351";2
"166";"ispi_1352";1
"167";"ispi_1353";2
"168";"ispi_1354";1
"169";"ispi_1357";2
"170";"ispi_1358";2
"171";"ispi_136";2
"172";"ispi_1361";1
"173";"ispi_1364";1
"174";"ispi_1372";2
"175";"ispi_1375";2
"176";"ispi_1376";2
"177";"ispi_1378";2
"178";"ispi_1379";2
"179";"ispi_138";2
"180";"ispi_1384";2
"181";"ispi_1386";3
"182";"ispi_1388";2
"183";"ispi_1391";2
"184";"ispi_1395";3
"185";"ispi_1397";1
"186";"ispi_1399";1
"187";"ispi_140";2
"188";"ispi_1400";1
"189";"ispi_1407";1
"190";"ispi_141";1
"191";"ispi_1414";2
"192";"ispi_1416";2
"193";"ispi_1417";1
"194";"ispi_142";1
"195";"ispi_1420";2
"196";"ispi_1421";1
"197";"ispi_1422";1
"198";"ispi_1423";1
"199";"ispi_1424";1
"200";"ispi_1426";1
"201";"ispi_1429";2
"202";"ispi_143";1
"203";"ispi_1430";2
"204";"ispi_1431";2
"205";"ispi_1432";1
"206";"ispi_1438";1
"207";"ispi_1439";1
"208";"ispi_144";1
"209";"ispi_1441";1
"210";"ispi_1444";1
"211";"ispi_1446";1
"212";"ispi_145";1
"213";"ispi_1453";1
"214";"ispi_1455";1
"215";"ispi_1456";2
"216";"ispi_1459";3
"217";"ispi_146";1
"218";"ispi_1460";2
"219";"ispi_1461";1
"220";"ispi_1463";3
"221";"ispi_1465";1
"222";"ispi_1468";2
"223";"ispi_1469";2
"224";"ispi_1473";1
"225";"ispi_1477";1
"226";"ispi_1479";2
"227";"ispi_1481";2
"228";"ispi_1485";1
"229";"ispi_1487";3
"230";"ispi_1488";1
"231";"ispi_1489";1
"232";"ispi_1490";2
"233";"ispi_1492";1
