"iND750";"Freq"
"1";"";761
"2";"ispi_0";1
"3";"ispi_1";1
"4";"ispi_10";2
"5";"ispi_100";3
"6";"ispi_1000";2
"7";"ispi_1001";1
"8";"ispi_1002";1
"9";"ispi_1006";1
"10";"ispi_101";1
"11";"ispi_1014";1
"12";"ispi_1018";1
"13";"ispi_102";1
"14";"ispi_1022";1
"15";"ispi_1023";4
"16";"ispi_1024";1
"17";"ispi_1026";1
"18";"ispi_1036";9
"19";"ispi_104";1
"20";"ispi_1040";4
"21";"ispi_1043";1
"22";"ispi_1045";6
"23";"ispi_1046";1
"24";"ispi_1048";8
"25";"ispi_1049";2
"26";"ispi_105";1
"27";"ispi_1052";5
"28";"ispi_1053";2
"29";"ispi_1055";2
"30";"ispi_1057";1
"31";"ispi_1059";2
"32";"ispi_1061";1
"33";"ispi_1064";1
"34";"ispi_1066";1
"35";"ispi_1067";1
"36";"ispi_1068";1
"37";"ispi_107";2
"38";"ispi_1070";1
"39";"ispi_1084";4
"40";"ispi_1087";4
"41";"ispi_1088";1
"42";"ispi_109";1
"43";"ispi_1091";3
"44";"ispi_110";1
"45";"ispi_1100";1
"46";"ispi_1109";4
"47";"ispi_111";3
"48";"ispi_1112";1
"49";"ispi_1116";2
"50";"ispi_1117";1
"51";"ispi_1118";2
"52";"ispi_1119";3
"53";"ispi_112";8
"54";"ispi_1120";1
"55";"ispi_1124";1
"56";"ispi_1125";4
"57";"ispi_1127";3
"58";"ispi_1128";4
"59";"ispi_1129";1
"60";"ispi_113";4
"61";"ispi_1138";3
"62";"ispi_1140";1
"63";"ispi_1144";1
"64";"ispi_1145";1
"65";"ispi_1146";2
"66";"ispi_1150";1
"67";"ispi_1157";3
"68";"ispi_1160";4
"69";"ispi_1161";2
"70";"ispi_1165";3
"71";"ispi_1170";3
"72";"ispi_1171";1
"73";"ispi_1174";1
"74";"ispi_1175";2
"75";"ispi_1177";1
"76";"ispi_1179";1
"77";"ispi_118";1
"78";"ispi_1180";1
"79";"ispi_1181";1
"80";"ispi_1186";1
"81";"ispi_119";1
"82";"ispi_1195";1
"83";"ispi_1196";2
"84";"ispi_1199";1
"85";"ispi_120";1
"86";"ispi_1206";1
"87";"ispi_1209";3
"88";"ispi_121";2
"89";"ispi_1210";2
"90";"ispi_1214";5
"91";"ispi_1215";2
"92";"ispi_122";4
"93";"ispi_1229";1
"94";"ispi_123";3
"95";"ispi_1232";1
"96";"ispi_1237";1
"97";"ispi_124";3
"98";"ispi_1241";1
"99";"ispi_1246";1
"100";"ispi_1248";1
"101";"ispi_125";1
"102";"ispi_1250";3
"103";"ispi_1253";1
"104";"ispi_1257";1
"105";"ispi_126";2
"106";"ispi_1260";1
"107";"ispi_1262";2
"108";"ispi_1263";1
"109";"ispi_1265";2
"110";"ispi_1266";1
"111";"ispi_1267";2
"112";"ispi_1268";2
"113";"ispi_1269";1
"114";"ispi_1270";1
"115";"ispi_1271";3
"116";"ispi_1273";1
"117";"ispi_1277";2
"118";"ispi_128";3
"119";"ispi_1280";1
"120";"ispi_1281";1
"121";"ispi_1288";1
"122";"ispi_1289";4
"123";"ispi_1292";1
"124";"ispi_1296";1
"125";"ispi_1299";1
"126";"ispi_13";1
"127";"ispi_1303";1
"128";"ispi_1305";1
"129";"ispi_1306";2
"130";"ispi_1308";2
"131";"ispi_1310";3
"132";"ispi_1311";1
"133";"ispi_1313";1
"134";"ispi_1315";2
"135";"ispi_1316";1
"136";"ispi_1318";2
"137";"ispi_1319";1
