"iTO977";"Freq"
"1";"";734
"2";"ispi_0";1
"3";"ispi_100";2
"4";"ispi_1000";2
"5";"ispi_1001";1
"6";"ispi_1002";1
"7";"ispi_1004";1
"8";"ispi_1005";1
"9";"ispi_1006";1
"10";"ispi_1007";1
"11";"ispi_1008";1
"12";"ispi_1009";1
"13";"ispi_101";1
"14";"ispi_1010";1
"15";"ispi_1015";1
"16";"ispi_1016";1
"17";"ispi_1017";1
"18";"ispi_1018";2
"19";"ispi_1020";1
"20";"ispi_1022";1
"21";"ispi_1023";3
"22";"ispi_1024";1
"23";"ispi_1026";1
"24";"ispi_1028";2
"25";"ispi_103";4
"26";"ispi_1032";1
"27";"ispi_1033";1
"28";"ispi_1040";2
"29";"ispi_1041";1
"30";"ispi_1043";1
"31";"ispi_1045";3
"32";"ispi_1047";1
"33";"ispi_1048";4
"34";"ispi_1049";1
"35";"ispi_1052";3
"36";"ispi_1053";1
"37";"ispi_1054";1
"38";"ispi_1055";1
"39";"ispi_1057";2
"40";"ispi_1058";1
"41";"ispi_1059";2
"42";"ispi_1061";1
"43";"ispi_1063";1
"44";"ispi_1066";1
"45";"ispi_1067";1
"46";"ispi_1068";2
"47";"ispi_107";2
"48";"ispi_1070";1
"49";"ispi_1079";1
"50";"ispi_1080";2
"51";"ispi_1081";1
"52";"ispi_1083";1
"53";"ispi_1084";2
"54";"ispi_1085";2
"55";"ispi_1087";3
"56";"ispi_1089";1
"57";"ispi_1090";2
"58";"ispi_1097";1
"59";"ispi_11";1
"60";"ispi_110";1
"61";"ispi_1108";1
"62";"ispi_1109";3
"63";"ispi_111";2
"64";"ispi_1112";1
"65";"ispi_1117";1
"66";"ispi_1119";2
"67";"ispi_112";4
"68";"ispi_1124";1
"69";"ispi_1125";3
"70";"ispi_1127";2
"71";"ispi_1128";3
"72";"ispi_1129";1
"73";"ispi_113";2
"74";"ispi_1130";1
"75";"ispi_1132";1
"76";"ispi_1133";1
"77";"ispi_1134";1
"78";"ispi_1135";1
"79";"ispi_1136";1
"80";"ispi_1137";2
"81";"ispi_1138";2
"82";"ispi_1139";1
"83";"ispi_1141";1
"84";"ispi_1142";1
"85";"ispi_1143";2
"86";"ispi_1145";1
"87";"ispi_1146";5
"88";"ispi_115";1
"89";"ispi_1153";1
"90";"ispi_1155";1
"91";"ispi_1156";1
"92";"ispi_1157";2
"93";"ispi_1159";1
"94";"ispi_116";1
"95";"ispi_1160";3
"96";"ispi_1161";1
"97";"ispi_1162";2
"98";"ispi_1164";1
"99";"ispi_1166";1
"100";"ispi_1168";1
"101";"ispi_117";2
"102";"ispi_1173";1
"103";"ispi_1174";1
"104";"ispi_1176";1
"105";"ispi_1179";1
"106";"ispi_1180";1
"107";"ispi_1181";1
"108";"ispi_1184";2
"109";"ispi_119";1
"110";"ispi_1195";1
"111";"ispi_1196";1
"112";"ispi_1199";1
"113";"ispi_120";2
"114";"ispi_1205";1
"115";"ispi_1207";1
"116";"ispi_1209";2
"117";"ispi_121";1
"118";"ispi_1210";2
"119";"ispi_1214";3
