"data";"Freq"
"1";"ispi_1011";605
"2";"ispi_1012";9
"3";"ispi_1013";6
"4";"ispi_1014";11
"5";"ispi_1015";26
"6";"ispi_1016";2
"7";"ispi_1017";7
"8";"ispi_1018";4
"9";"ispi_1019";6
"10";"ispi_1020";10
"11";"ispi_1021";10
"12";"ispi_1022";11
"13";"ispi_1023";6
"14";"ispi_1024";4
"15";"ispi_1025";6
"16";"ispi_1026";3
"17";"ispi_1027";16
"18";"ispi_1028";9
"19";"ispi_1029";10
"20";"ispi_1030";14
"21";"ispi_1031";3
"22";"ispi_1032";2
"23";"ispi_1033";15
"24";"ispi_1034";19
"25";"ispi_1035";19
"26";"ispi_1036";6
"27";"ispi_1037";33
"28";"ispi_1038";6
"29";"ispi_1039";5
"30";"ispi_1040";24
"31";"ispi_1041";8
"32";"ispi_1042";6
"33";"ispi_1043";10
"34";"ispi_1044";4
"35";"ispi_1045";10
"36";"ispi_1046";4
"37";"ispi_1047";2
"38";"ispi_1048";16
"39";"ispi_1049";17
"40";"ispi_1050";8
"41";"ispi_1051";42
"42";"ispi_1052";28
"43";"ispi_1053";32
"44";"ispi_1054";2
"45";"ispi_1055";7
"46";"ispi_1056";6
"47";"ispi_1057";7
"48";"ispi_1058";10
"49";"ispi_1059";15
"50";"ispi_1060";6
"51";"ispi_1061";10
"52";"ispi_1062";5
"53";"ispi_1063";18
"54";"ispi_1064";3
"55";"ispi_1065";10
"56";"ispi_1066";6
"57";"ispi_1067";10
"58";"ispi_1068";10
"59";"ispi_1069";10
"60";"ispi_1070";8
"61";"ispi_1071";9
"62";"ispi_1072";10
"63";"ispi_1073";18
"64";"ispi_1074";17
"65";"ispi_1075";10
"66";"ispi_1076";2
"67";"ispi_1077";6
"68";"ispi_1078";7
"69";"ispi_1079";12
"70";"ispi_1080";36
"71";"ispi_1081";10
"72";"ispi_1082";3
"73";"ispi_1083";1
"74";"ispi_1084";20
"75";"ispi_1085";3
"76";"ispi_1086";6
"77";"ispi_1087";7
"78";"ispi_1088";35
"79";"ispi_1089";43
"80";"ispi_1090";25
"81";"ispi_1091";17
"82";"ispi_1092";5
"83";"ispi_1093";1
"84";"ispi_1094";39
"85";"ispi_1095";6
"86";"ispi_1096";2
"87";"ispi_1097";31
"88";"ispi_1098";20
"89";"ispi_1099";24
"90";"ispi_1100";10
"91";"ispi_1101";18
"92";"ispi_1102";4
"93";"ispi_1103";18
"94";"ispi_1104";22
"95";"ispi_1105";7
"96";"ispi_1106";5
"97";"ispi_1107";5
"98";"ispi_1108";3
"99";"ispi_1109";6
"100";"ispi_1110";13
"101";"ispi_1111";9
"102";"ispi_1112";33
"103";"ispi_1113";35
"104";"ispi_1114";6
"105";"ispi_1115";10
"106";"ispi_1116";4
"107";"ispi_1117";10
"108";"ispi_1118";1
"109";"ispi_1119";25
"110";"ispi_1120";6
"111";"ispi_1121";2
"112";"ispi_1122";6
"113";"ispi_1123";2
"114";"ispi_1124";11
"115";"ispi_1125";25
"116";"ispi_1126";16
"117";"ispi_1127";9
"118";"ispi_1128";6
"119";"ispi_1129";10
"120";"ispi_1130";10
"121";"ispi_1131";5
"122";"ispi_1132";10
"123";"ispi_1133";14
"124";"ispi_1134";31
"125";"ispi_1135";9
"126";"ispi_1136";2
"127";"ispi_1137";18
"128";"ispi_1138";6
"129";"ispi_1139";12
"130";"ispi_1140";1
"131";"ispi_1141";10
"132";"ispi_1142";17
"133";"ispi_1143";34
"134";"ispi_1144";6
"135";"ispi_1145";7
"136";"ispi_1146";48
"137";"ispi_1147";10
"138";"ispi_1148";10
"139";"ispi_1149";11
"140";"ispi_1150";6
"141";"ispi_1151";25
"142";"ispi_1152";12
"143";"ispi_1153";6
"144";"ispi_1154";10
"145";"ispi_1155";14
"146";"ispi_1156";10
"147";"ispi_1157";22
"148";"ispi_1158";6
"149";"ispi_1159";2
"150";"ispi_1160";10
"151";"ispi_1161";20
"152";"ispi_1162";22
"153";"ispi_1163";4
"154";"ispi_1164";2
"155";"ispi_1165";3
"156";"ispi_1166";2
"157";"ispi_1167";10
"158";"ispi_1168";3
"159";"ispi_1169";8
"160";"ispi_1170";6
"161";"ispi_1171";14
"162";"ispi_1172";4
"163";"ispi_1173";8
"164";"ispi_1174";1
"165";"ispi_1175";10
"166";"ispi_1176";9
"167";"ispi_1177";17
"168";"ispi_1178";22
"169";"ispi_1179";2
"170";"ispi_1180";9
"171";"ispi_1181";1
"172";"ispi_1182";6
"173";"ispi_1183";10
"174";"ispi_1184";11
"175";"ispi_1185";6
"176";"ispi_1186";10
"177";"ispi_1187";16
"178";"ispi_1188";6
"179";"ispi_1189";2
"180";"ispi_1190";4
"181";"ispi_1191";9
"182";"ispi_1192";11
"183";"ispi_1193";19
"184";"ispi_1194";4
"185";"ispi_1195";9
"186";"ispi_1196";23
"187";"ispi_1197";65
"188";"ispi_1198";11
"189";"ispi_1199";11
"190";"ispi_1200";20
"191";"ispi_1201";6
"192";"ispi_1202";20
"193";"ispi_1203";25
"194";"ispi_1204";10
"195";"ispi_1205";55
"196";"ispi_1206";15
"197";"ispi_1207";4
"198";"ispi_1208";2
"199";"ispi_1209";18
"200";"ispi_1210";11
"201";"ispi_1211";3
"202";"ispi_1212";25
"203";"ispi_1213";2
"204";"ispi_1214";3
"205";"ispi_1215";17
"206";"ispi_1216";49
"207";"ispi_1217";2
"208";"ispi_1218";10
"209";"ispi_1219";14
"210";"ispi_1220";9
"211";"ispi_1221";3
"212";"ispi_1222";21
"213";"ispi_1223";26
"214";"ispi_1224";10
"215";"ispi_1225";4
"216";"ispi_1226";52
"217";"ispi_1227";9
"218";"ispi_1228";10
"219";"ispi_1229";20
"220";"ispi_1230";27
"221";"ispi_1231";15
"222";"ispi_1232";10
"223";"ispi_1233";70
"224";"ispi_1234";8
"225";"ispi_1235";7
"226";"ispi_1236";10
"227";"ispi_1237";17
"228";"ispi_1238";9
"229";"ispi_1239";10
"230";"ispi_1240";4
"231";"ispi_1241";33
"232";"ispi_1242";23
"233";"ispi_1243";8
"234";"ispi_1244";17
"235";"ispi_1245";14
"236";"ispi_1246";10
"237";"ispi_1247";14
"238";"ispi_1248";6
"239";"ispi_1249";5
"240";"ispi_1250";9
"241";"ispi_1251";3
