"Yeast1";"Freq"
"1";"Alanine and Aspartate Metabolism";11
"2";"Anaplerotic Reactions";13
"3";"Arginine and Proline Metabolism";37
"4";"Asparagine Metabolism";5
"5";"Citric Acid Cycle";18
"6";"Complex Alcohol Metabolism";67
"7";"Fatty Acid Biosynthesis";77
"8";"Fatty Acid Degradation";59
"9";"Folate Metabolism";29
"10";"Fructose and Mannose Metabolism";7
"11";"Galactose Metabolism";20
"12";"Glutamate, Glutamine and Glutathione Metabolism";51
"13";"Glycerolipid Metabolism";13
"14";"Glycine, Serine, Lysine and Threonine Metabolism";39
"15";"Glycolysis and Gluconeogenesis";35
"16";"Histidine Metabolism";18
"17";"Methane Metabolism";4
"18";"Methionine and Cysteine Metabolism";34
"19";"NAD Biosythesis";30
"20";"Nitrogen Metabolism";5
"21";"Nucleotide Salvage Metabolism";98
"22";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";41
"23";"Others";14
"24";"Oxidative Phosphorylation";34
"25";"Pantothenate and CoA Biosynthesis";23
"26";"Pentose Phosphate Pathway";22
"27";"Phospholipid Biosynthesis";17
"28";"Porphyrin and Chlorophyll Metabolism";13
"29";"Purine and Pirimidine Biosynthesis";67
"30";"Pyridoxine Metabolism";9
"31";"Pyruvate Metabolism";28
"32";"Quinone Biosynthesis";17
"33";"Riboflavin Metabolism";15
"34";"Sphingolipid Metabolism";45
"35";"Starch and Sucrose Metabolism";5
"36";"Sterol Metabolism";38
"37";"Taurine Metabolism";1
"38";"Thiamine Metabolism";18
"39";"tRNA Synthesis";38
"40";"Tyrosine, Tryptophan and Phenylalanine Metabolism";53
"41";"Valine, Leucine and Isoleucine Metabolism";20
