"iFF708";"Freq"
"1";"Alanine and Aspartate Metabolism";10
"2";"Anaplerotic Reactions";9
"3";"Arabinose Metabolism";2
"4";"Arginine and Proline Metabolism";29
"5";"Asparagine Metabolism";4
"6";"Citric Acid Cycle";15
"7";"Fatty Acid Biosynthesis";20
"8";"Fatty Acid Degradation";16
"9";"Folate Metabolism";27
"10";"Fructose and Mannose Metabolism";7
"11";"Galactose Metabolism";20
"12";"Glutamate, Glutamine and Glutathione Metabolism";38
"13";"Glycerolipid Metabolism";7
"14";"Glycine, Serine, Lysine and Threonine Metabolism";32
"15";"Glycolysis and Gluconeogenesis";36
"16";"Glycoprotein Metabolism";15
"17";"Histidine Metabolism";19
"18";"Methane Metabolism";3
"19";"Methionine and Cysteine Metabolism";22
"20";"NAD Biosythesis";27
"21";"Nitrogen Metabolism";3
"22";"Nucleotide Salvage Metabolism";66
"23";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";15
"24";"Others";5
"25";"Oxidative Phosphorylation";19
"26";"Pantothenate and CoA Biosynthesis";18
"27";"Pentose Phosphate Pathway";21
"28";"Phospholipid Biosynthesis";38
"29";"Porphyrin and Chlorophyll Metabolism";9
"30";"Purine and Pirimidine Biosynthesis";69
"31";"Pyridoxine Metabolism";11
"32";"Pyruvate Metabolism";19
"33";"Quinone Biosynthesis";14
"34";"Riboflavin Metabolism";11
"35";"Sphingolipid Metabolism";18
"36";"Starch and Sucrose Metabolism";7
"37";"Sterol Metabolism";31
"38";"Thiamine Metabolism";16
"39";"tRNA Synthesis";11
"40";"Tyrosine, Tryptophan and Phenylalanine Metabolism";52
"41";"Valine, Leucine and Isoleucine Metabolism";15
