"iLL672";"Freq"
"1";"Alanine and Aspartate Metabolism";8
"2";"Anaplerotic Reactions";7
"3";"Arabinose Metabolism";2
"4";"Arginine and Proline Metabolism";24
"5";"Citric Acid Cycle";15
"6";"Fatty Acid Biosynthesis";5
"7";"Fatty Acid Degradation";4
"8";"Folate Metabolism";26
"9";"Fructose and Mannose Metabolism";6
"10";"Galactose Metabolism";11
"11";"Glutamate, Glutamine and Glutathione Metabolism";28
"12";"Glycerolipid Metabolism";6
"13";"Glycine, Serine, Lysine and Threonine Metabolism";24
"14";"Glycolysis and Gluconeogenesis";30
"15";"Glycoprotein Metabolism";7
"16";"Histidine Metabolism";16
"17";"Methane Metabolism";2
"18";"Methionine and Cysteine Metabolism";19
"19";"NAD Biosythesis";14
"20";"Nitrogen Metabolism";2
"21";"Nucleotide Salvage Metabolism";50
"22";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";11
"23";"Others";3
"24";"Oxidative Phosphorylation";7
"25";"Pantothenate and CoA Biosynthesis";17
"26";"Pentose Phosphate Pathway";14
"27";"Phospholipid Biosynthesis";14
"28";"Porphyrin and Chlorophyll Metabolism";8
"29";"Purine and Pirimidine Biosynthesis";47
"30";"Pyridoxine Metabolism";8
"31";"Pyruvate Metabolism";9
"32";"Quinone Biosynthesis";4
"33";"Riboflavin Metabolism";3
"34";"Sphingolipid Metabolism";10
"35";"Starch and Sucrose Metabolism";4
"36";"Sterol Metabolism";20
"37";"Thiamine Metabolism";9
"38";"Tyrosine, Tryptophan and Phenylalanine Metabolism";32
"39";"Valine, Leucine and Isoleucine Metabolism";12
