"iTO977";"Freq"
"1";"Alanine and Aspartate Metabolism";9
"2";"Anaplerotic Reactions";7
"3";"Arabinose Metabolism";2
"4";"Arginine and Proline Metabolism";29
"5";"Citric Acid Cycle";15
"6";"Complex Alcohol Metabolism";17
"7";"Fatty Acid Biosynthesis";119
"8";"Fatty Acid Degradation";61
"9";"Folate Metabolism";27
"10";"Fructose and Mannose Metabolism";6
"11";"Galactose Metabolism";15
"12";"Glutamate, Glutamine and Glutathione Metabolism";34
"13";"Glycerolipid Metabolism";15
"14";"Glycine, Serine, Lysine and Threonine Metabolism";33
"15";"Glycolysis and Gluconeogenesis";22
"16";"Glycoprotein Metabolism";28
"17";"Histidine Metabolism";15
"18";"Methane Metabolism";1
"19";"Methionine and Cysteine Metabolism";28
"20";"NAD Biosythesis";29
"21";"Nitrogen Metabolism";3
"22";"Nucleotide Salvage Metabolism";75
"23";"Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...)";18
"24";"Others";16
"25";"Oxidative Phosphorylation";17
"26";"Pantothenate and CoA Biosynthesis";21
"27";"Pentose Phosphate Pathway";12
"28";"Phospholipid Biosynthesis";42
"29";"Porphyrin and Chlorophyll Metabolism";9
"30";"Purine and Pirimidine Biosynthesis";59
"31";"Pyridoxine Metabolism";10
"32";"Pyruvate Metabolism";12
"33";"Quinone Biosynthesis";12
"34";"Riboflavin Metabolism";17
"35";"Sphingolipid Metabolism";26
"36";"Starch and Sucrose Metabolism";2
"37";"Sterol Metabolism";32
"38";"Taurine Metabolism";1
"39";"Thiamine Metabolism";11
"40";"tRNA Synthesis";34
"41";"Tyrosine, Tryptophan and Phenylalanine Metabolism";51
"42";"Valine, Leucine and Isoleucine Metabolism";17
