iAZ900;iFF708;iLL672;iMM904;iTO977;iND750;Yeast1;Yeast6;Yeast7
NA;NA;Purine and Pirimidine Biosynthesis;Thiamine Metabolism;Nucleotide Salvage Metabolism;NA;Fatty Acid Biosynthesis;NA;NA
NA;NA;NA;Purine and Pirimidine Biosynthesis;Nucleotide Salvage Metabolism;Glycine, Serine, Lysine and Threonine Metabolism;Fatty Acid Biosynthesis;Glycine, Serine, Lysine and Threonine Metabolism;NA
NA;NA;Tyrosine, Tryptophan and Phenylalanine Metabolism;Galactose Metabolism;NA;Pentose Phosphate Pathway;Others;NA;NA
Purine and Pirimidine Biosynthesis;NA;Purine and Pirimidine Biosynthesis;NA;Nucleotide Salvage Metabolism;Glycine, Serine, Lysine and Threonine Metabolism;Citric Acid Cycle;Fatty Acid Biosynthesis;NA
Oxidative Phosphorylation;NA;Tyrosine, Tryptophan and Phenylalanine Metabolism;NAD Biosythesis;NA;NA;Fatty Acid Degradation;Glycolysis and Gluconeogenesis;NA
Arginine and Proline Metabolism;Histidine Metabolism;Purine and Pirimidine Biosynthesis;Sterol Metabolism;Pyruvate Metabolism;Folate Metabolism;Folate Metabolism;Glycolysis and Gluconeogenesis;NA
NA;Histidine Metabolism;NA;Tyrosine, Tryptophan and Phenylalanine Metabolism;Nucleotide Salvage Metabolism;Phospholipid Biosynthesis;Fatty Acid Degradation;Glutamate, Glutamine and Glutathione Metabolism;NA
NA;NA;Tyrosine, Tryptophan and Phenylalanine Metabolism;NA;NA;NA;Oxidative Phosphorylation;NA;NA
Arginine and Proline Metabolism;Folate Metabolism;Purine and Pirimidine Biosynthesis;Quinone Biosynthesis;Fatty Acid Biosynthesis;Citric Acid Cycle;NA;NA;NA
Oxidative Phosphorylation;Folate Metabolism;Tyrosine, Tryptophan and Phenylalanine Metabolism;NA;Fatty Acid Biosynthesis;Phospholipid Biosynthesis;Citric Acid Cycle;NA;NA
NA;NA;NA;Phospholipid Biosynthesis;Fatty Acid Biosynthesis;Tyrosine, Tryptophan and Phenylalanine Metabolism;Glycerolipid Metabolism;NA;NA
Fatty Acid Degradation;Histidine Metabolism;Purine and Pirimidine Biosynthesis;Pentose Phosphate Pathway;Fatty Acid Biosynthesis;Citric Acid Cycle;Arginine and Proline Metabolism;NA;NA
NA;NA;Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...);Nucleotide Salvage Metabolism;Fatty Acid Biosynthesis;NA;Anaplerotic Reactions;NA;NA
NA;Folate Metabolism;Tyrosine, Tryptophan and Phenylalanine Metabolism;NA;NA;NA;Oxidative Phosphorylation;NA;NA
Valine, Leucine and Isoleucine Metabolism;NA;Purine and Pirimidine Biosynthesis;NA;Fatty Acid Biosynthesis;NA;NA;Fatty Acid Biosynthesis;NA
NA;Folate Metabolism;Tyrosine, Tryptophan and Phenylalanine Metabolism;NA;Fatty Acid Biosynthesis;Other Sugars Metabolism (Glycogen, Trehalose, Xylose, Sorbitol...);NA;NA;NA
